 2013-Oct-20 12:00     17 25 05.47 -23 13 28.6 1.19479351153272   1.0096408   9.936795
 2013-Oct-21 12:00     17 29 21.50 -23 15 51.1 1.19538121775908   1.0253860   9.941682
 2013-Oct-22 12:00     17 33 37.66 -23 17 47.7 1.19597802245002   1.0411294   9.946646
 2013-Oct-23 12:00     17 37 53.94 -23 19 18.4 1.19658389832924   1.0567826   9.951685
 2013-Oct-24 12:00     17 42 10.31 -23 20 23.0 1.19719877017607   1.0722667   9.956799
 2013-Oct-25 12:00     17 46 26.74 -23 21 01.6 1.19782251969388   1.0875118   9.961986
 2013-Oct-26 12:00     17 50 43.20 -23 21 14.1 1.19845498996575   1.1024533   9.967246
 2013-Oct-27 12:00     17 54 59.68 -23 21 00.5 1.19909598779039   1.1170294   9.972577
 2013-Oct-28 12:00     17 59 16.14 -23 20 20.9 1.19974528397856   1.1311769   9.977977
 2013-Oct-29 12:00     18 03 32.56 -23 19 15.2 1.20040261184025   1.1448288   9.983444
 2013-Oct-30 12:00     18 07 48.91 -23 17 43.4 1.20106766453055   1.1579134   9.988975
 2013-Oct-31 12:00     18 12 05.17 -23 15 45.7 1.20174009365090   1.1703590   9.994568
 2013-Nov-01 12:00     18 16 21.30 -23 13 22.0 1.20241846150447   1.1820989  10.000209
 2013-Nov-02 12:00     18 20 37.29 -23 10 32.5 1.20310444289198   1.1930841  10.005915
 2013-Nov-03 12:00     18 24 53.10 -23 07 17.1 1.20379654612035   1.2032977  10.011671
 2013-Nov-04 12:00     18 29 08.70 -23 03 36.1 1.20449433150439   1.2127681  10.017474
 2013-Nov-05 12:00     18 33 24.07 -22 59 29.4 1.20519739002248   1.2215744  10.023321
 2013-Nov-06 12:00     18 37 39.18 -22 54 57.2 1.20590537258471   1.2298425  10.029209
 2013-Nov-07 12:00     18 41 53.99 -22 49 59.7 1.20661801251620   1.2377288  10.035136
 2013-Nov-08 12:00     18 46 08.47 -22 44 37.0 1.20733513728320   1.2453994  10.041100
 2013-Nov-09 12:00     18 50 22.61 -22 38 49.2 1.20805666838181   1.2530108  10.047101
 2013-Nov-10 12:00     18 54 36.36 -22 32 36.5 1.20878261213909   1.2606977  10.053138
 2013-Nov-11 12:00     18 58 49.70 -22 25 59.0 1.20951304119471   1.2685569  10.059213
 2013-Nov-12 12:00     19 03 02.61 -22 18 57.0 1.21024807723786   1.2766590  10.065326
 2013-Nov-13 12:00     19 07 15.06 -22 11 30.6 1.21098787291535   1.2850415  10.071479
 2013-Nov-14 12:00     19 11 27.03 -22 03 40.1 1.21173259394191   1.2937131  10.077673
